system:index,ADM_LEVEL,CC_2,COUNTRY,COUNTRY_NO,ENGTYPE_2,FID_TCL_QC,FID_world_,GID_0,GID_1,GID_2,HASC_2,ISDISPUTED,Id,MAX_LEVEL,NAME_0,NAME_0_NOR,NAME_1,NAME_1_NOR,NAME_2,NAME_2_NOR,NL_NAME_1,NL_NAME_2,SIZE,TYPE_2,VARNAME_2,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,.geo
00000000000000000000,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32607,COD,COD.6_1,COD.6.10_1,NA,FALSE,32608,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32608,COD,COD.6_1,COD.6.10_1,NA,FALSE,32609,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,84.30837308615446,83.92375214397907,84.84679245948792,86.00061362981796,86.30832672864199,90.84684509038925,98.15460104495287,106.07770409435034,114.15464564412832,124.00085029006004,128.53934106975794,138.07801064103842,146.00140150636435,164.07861185073853,180.15589521825314,193.23311654478312,201.46402726322412,206.54106295853853,204.84883635491133,203.5410531461239,199.15637059509754,200.0794201940298,202.8486195653677,211.92545019090176,218.46380373090506,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32609,COD,COD.6_1,COD.6.10_1,NA,FALSE,32610,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,36.23201837390661,35.847398057579994,34.84737525880337,34.30887042731047,33.308811478316784,34.07804185897112,35.0011470541358,37.4627703204751,42.61677369475365,49.38617781549692,55.61702935397625,59.694019325077534,71.69416250288486,77.46353138238192,81.84835484623909,90.00246234238148,102.54130833595991,115.38762329518795,125.84933650493622,143.6189502775669,152.23469991981983,159.4657788425684,173.7736248448491,193.92759770154953,211.69712219387293,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32967,COD,COD.6_1,COD.6.10_1,NA,FALSE,32968,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,3.99882385879755,4.22952501475811,3.9219414815306664,3.6912334486842155,4.152706578373909,4.998742051422596,5.844855338335037,5.460372731089592,5.614240258932114,5.921919234097004,5.614233575761318,5.6142174527049065,7.075124494731426,8.920438013970852,11.688848152756691,16.302847258746624,21.45512407273054,28.683797746896744,35.14345044642687,41.064736753702164,43.52563714236021,46.44797196984291,57.90614281594753,104.66153559833765,163.10669468343258,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32968,COD,COD.6_1,COD.6.10_1,NA,FALSE,32969,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,298.63110119849443,295.94006457179785,291.4806320667267,286.56005105376244,276.48574689775705,276.48626793920994,288.1004252806306,304.17517214268446,326.48102640360594,348.7874290421605,367.3253452554345,377.78715585917234,386.1708623096347,389.4006713926792,395.9371200725436,407.85587495565414,423.00500298291445,442.1539529412985,478.68487475812435,516.9083318710327,563.6712784618139,624.355769701302,704.8077786490321,782.3363035172224,813.5628433153033,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32969,COD,COD.6_1,COD.6.10_1,NA,FALSE,32970,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,3451.50174087286,3450.4259874895215,3448.1965780705214,3448.8905589804053,3447.0470896586776,3449.356206327677,3454.509620539844,3456.894306913018,3466.5079377517104,3462.2785557359457,3450.588826753199,3424.595034606755,3394.9865745306015,3371.530501022935,3352.6116059198976,3360.301090620458,3386.75392126292,3395.904301792383,3386.0608394667506,3362.222430564463,3309.6998608857393,3232.031415261328,3159.591843418777,3121.603582844138,3112.3763537555933,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,33328,COD,COD.6_1,COD.6.10_1,NA,FALSE,33329,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,770.4238463640213,747.2056516557932,709.3029275238514,663.327744461596,600.1312477588654,568.148726016283,554.387015864253,550.7737497761846,546.4686052203178,546.7762847095728,540.1646085008979,536.8587924391031,552.0042719095945,568.6104917377234,589.2915869727731,614.1243176609278,643.80060338974,651.3351136744022,634.1139726042747,596.4424933716655,550.5446076691151,515.6406241580844,500.11061368882656,510.3358331769705,521.7142340168357,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,33329,COD,COD.6_1,COD.6.10_1,NA,FALSE,33330,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,4016.452740713954,4015.606966137886,4031.7486350908875,4058.961475111544,4052.273561246693,4047.4302108213305,4058.5743059515953,4055.0368049815297,4041.121783554554,4011.9110926389694,4000.072771012783,3993.3079331740737,4015.061396807432,4035.967924669385,4056.412417590618,4051.568402737379,4036.8851637393236,3970.8533144146204,3907.742211036384,3812.5004632249475,3755.3841499611735,3724.8640480712056,3745.3084701299667,3775.4393766373396,3796.0399654582143,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,2,6208,Indonesia,indonesia,Regency,1,31251,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,FALSE,31252,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,NA,NA,medium,Kabupaten,NA,2102.9272793605924,2123.4336983338,2051.2328103408217,1987.4798162579536,1941.6249820291996,1950.9174062535167,1826.7966193929315,1707.129605293274,1596.7567731365561,1563.4974855333567,1498.3629178777337,1476.393688738346,1529.4647516682744,1637.913377314806,1692.6742020845413,1753.888507179916,1943.5233883038163,2197.7578190490603,2363.508255548775,2478.10008829087,2640.386260896921,2721.644516557455,2788.08120277524,2892.998955987394,3040.9285253435373,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,2,6208,Indonesia,indonesia,Regency,1,31252,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,FALSE,31253,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,NA,NA,medium,Kabupaten,NA,47774.74668969214,47823.601907104254,48107.93267761171,49125.418107271194,49671.153364785016,49574.43217795342,48005.64628279954,45537.05504993349,43111.33394729346,41752.46550692618,41757.757779583335,42633.56855750084,44802.23392536491,47266.5640014559,49433.53295651823,50948.90268237889,52681.88666681945,55058.38030359894,55827.309188604355,55035.35315592587,54507.16189068556,54191.30928911269,55317.00740174204,57511.44423636794,58694.6342208907,"{""type"":""MultiPoint"",""coordinates"":[]}"
